IP,Access Time,HTTP Requests,Browser
10.82.208.44,16/Nov/2022:22:52:30 +0100,/~ikarmali/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
107.0.0.0,16/Nov/2022:22:52:30 +0100,/icons/blank.gif,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
10.82.208.44,16/Nov/2022:22:52:30 +0100,/icons/back.gif,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
107.0.0.0,16/Nov/2022:22:52:30 +0100,/icons/folder.gif,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
10.82.208.44,16/Nov/2022:22:52:34 +0100,/~ikarmali/ian/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
107.0.0.0,16/Nov/2022:22:52:34 +0100,/~ikarmali/ian/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
10.82.208.44,16/Nov/2022:22:52:34 +0100,/~ikarmali/ian/styles/styles.css,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
107.0.0.0,16/Nov/2022:22:52:34 +0100,/~ikarmali/ian/styles/styles.css,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
10.82.208.44,16/Nov/2022:22:52:34 +0100,/~ikarmali/ian/index.js,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
107.0.0.0,16/Nov/2022:22:52:34 +0100,/~ikarmali/ian/index.js,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
10.82.208.44,16/Nov/2022:22:52:34 +0100,/~ikarmali/ian/styles/fontface.css,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
107.0.0.0,16/Nov/2022:22:52:34 +0100,/~ikarmali/ian/styles/fontface.css,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
10.82.208.44,16/Nov/2022:22:52:34 +0100,/~ikarmali/ian/styles/img/newbanner.webp,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
107.0.0.0,16/Nov/2022:22:52:34 +0100,/~ikarmali/ian/styles/img/newbanner.webp,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
10.82.208.44,16/Nov/2022:22:52:34 +0100,/~ikarmali/ian/img/hpbanner.png,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
107.0.0.0,16/Nov/2022:22:52:34 +0100,/~ikarmali/ian/img/hpbanner.png,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
10.82.208.44,17/Nov/2022:11:02:44 +0100,/~ikarmali/ian/forms.php,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
107.0.0.0,17/Nov/2022:11:02:45 +0100,/~ikarmali/ian/index.js,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
10.82.208.44,17/Nov/2022:11:02:45 +0100,/~ikarmali/ian/index.js,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
107.0.0.0,17/Nov/2022:11:02:45 +0100,/~ikarmali/ian/styles/styles.css,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
10.82.208.44,17/Nov/2022:11:02:45 +0100,/~ikarmali/ian/styles/styles.css,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
107.0.0.0,17/Nov/2022:11:02:45 +0100,/~ikarmali/ian/styles/fontface.css,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
10.82.208.44,17/Nov/2022:11:02:45 +0100,/~ikarmali/ian/styles/fontface.css,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
107.0.0.0,17/Nov/2022:11:02:45 +0100,/~ikarmali/ian/img/hpbanner.png,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
10.82.208.44,17/Nov/2022:11:02:45 +0100,/~ikarmali/ian/img/hpbanner.png,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
107.0.0.0,17/Nov/2022:11:02:49 +0100,/~ikarmali/ian/index.php,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
10.82.208.44,17/Nov/2022:11:02:49 +0100,/~ikarmali/ian/index.php,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
107.0.0.0,17/Nov/2022:11:02:49 +0100,/~ikarmali/ian/styles/fontface.css,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
10.82.208.44,17/Nov/2022:11:02:49 +0100,/~ikarmali/ian/styles/fontface.css,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
107.0.0.0,17/Nov/2022:11:02:49 +0100,/~ikarmali/ian/styles/img/newbanner.webp,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
10.82.208.44,17/Nov/2022:11:02:49 +0100,/~ikarmali/ian/styles/img/newbanner.webp,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
107.0.0.0,17/Nov/2022:11:08:46 +0100,/~ikarmali/ian/index.php,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
10.82.185.83,17/Nov/2022:11:08:46 +0100,/~ikarmali/ian/index.php,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
107.0.0.0,17/Nov/2022:11:08:55 +0100,/~ikarmali/ian/index.php,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
10.82.185.83,17/Nov/2022:11:08:55 +0100,/~ikarmali/ian/index.php,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
107.0.0.0,17/Nov/2022:11:08:56 +0100,/~ikarmali/ian/index.php,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
10.82.185.83,17/Nov/2022:11:08:56 +0100,/~ikarmali/ian/index.php,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
107.0.0.0,17/Nov/2022:11:08:56 +0100,/~ikarmali/ian/index.php,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
10.82.185.83,17/Nov/2022:11:08:56 +0100,/~ikarmali/ian/index.php,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
107.0.0.0,17/Nov/2022:11:08:57 +0100,/~ikarmali/ian/index.php,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
10.82.185.83,17/Nov/2022:11:08:57 +0100,/~ikarmali/ian/index.php,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
107.0.0.0,17/Nov/2022:11:08:57 +0100,/~ikarmali/ian/index.php,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
